Time Series ID	Fly ID	Fly Genotype 	Age	Sex	Stimulus 	Frames (imaging)	Rotation	Z-depth	Layer 	Imaging Frame Rate (Hz)	Wavelength	Transmission (%)	Gain	Offset 	Color Filter 	ND	Dither Hold	isMoving?	isResponding?	comments
161205_fly2_LDM_009	12	21Dhh-ASAP2f_ortC1-3lexA-lexAopTNT	5	F	fullfield_LDflash20ms_Gray500ms	10000	20	12016.03	2	80	920	13	95	75	482/18	1.3	0	0		
161205_fly2_LDM_010	12	21Dhh-ASAP2f_ortC1-3lexA-lexAopTNT	5	F	300ms_searchStimFlash	5000	23	12017.77	2	80	920	12	95	75	482/18	1.3	0	0	1	cells 3-5 responding
161205_fly2_LDM_011	12	21Dhh-ASAP2f_ortC1-3lexA-lexAopTNT	5	F	fullfield_LDflash20ms_Gray500ms	10000	23	12017.77	2	80	920	12	95	75	482/18	1.3	0	0	1	some cells movement
161229_fly2_LDM_001	13	GMR16H03-lexA_lexAop-ASAP2f_UAS-shi[ts]R(5)+37-1hr	6	F	300ms_searchStimFlash	5000	24	11756.06	2	80	920	9	95	72	482/18	1.3	0	0	1	"all cells responding, looks good"
161229_fly2_LDM_002	13	GMR16H03-lexA_lexAop-ASAP2f_UAS-shi[ts]R(5)+37-1hr	6	F	fullfield_LDflash20ms_Gray500ms	10000	24	11756.06	2	80	920	9	90	72	482/18	1.3	0	0		minor movement
161229_fly2_LDM_003	13	GMR16H03-lexA_lexAop-ASAP2f_UAS-shi[ts]R(5)+37-1hr	6	F	300ms_searchStimFlash	5000	24	11764.14	2	80	920	9	90	72	482/18	1.3	0	0	1	cells 1-5 responding
161229_fly2_LDM_004	13	GMR16H03-lexA_lexAop-ASAP2f_UAS-shi[ts]R(5)+37-1hr	6	F	fullfield_LDflash20ms_Gray500ms	10000	24	11764.14	2	80	920	9	90	72	482/18	1.3	0	0		
161229_fly2_LDM_005	13	GMR16H03-lexA_lexAop-ASAP2f_UAS-shi[ts]R(5)+37-1hr	6	F	300ms_searchStimFlash	5000	24	11774.98	2	80	920	10	90	72	482/18	1.3	0	0		
161229_fly2_LDM_006	13	GMR16H03-lexA_lexAop-ASAP2f_UAS-shi[ts]R(5)+37-1hr	6	F	fullfield_LDflash20ms_Gray500ms	10000	24	11774.98	2	80	920	10	90	72	482/18	1.3	0	0		
161229_fly3_LDM_007	14	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4_UAS-shi[ts]R(5)+37-1hr	6	F	300ms_searchStimFlash	5000	20	11688.6	2	80	920	11	95	72	482/18	1.3	0	0	1	cells 2-8 responding
161229_fly3_LDM_008	14	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4_UAS-shi[ts]R(5)+37-1hr	6	F	fullfield_LDflash20ms_Gray500ms	10000	20	11688.6	2	80	920	11	95	72	482/18	1.3	0	0		
